RuleName,Description,Severity,Query Frequency,Query Period,Req. modification,Rule ID,Type Of Rule,SOC Status,Scope,LastUpdate
AADR-027 - PIM Alert Manipulation Detection,"The rules evaluate audit logs from Microsoft Entra ID (AAD) to detect activities related to deactivation and turning off alerting in Privileged Identity Management (PIM). PIM generates alerts when there is suspicious or unsafe activity in your environment. Turning off alerting services or deactivating generated alerts may represent an attempt to conceal unauthorized or suspicious activities in the environment. If such an event is detected, rules will record the initiator, type of activity, and relevant alerts.",Low,PT30M,PT30M,NO.,aad1pim2-c3p0-2202-2023-e33521mk1088,Custom,Approved,AAD,
AADR-028 - Possible MFA Bombing in Microsoft Entra ID,"The rule identifies potential MFA (Multi-Factor Authentication) bombing attempts, where a user explicitly rejects or does not respond to MFA notifications, indicating that the login attempt was unexpected and that the user's account credentials might be compromised. The rule triggers when more than two (threshold) MFA denial events occur within an hour. It analyzes Microsoft Entra ID (AAD) Sign-In logs to detect specific MFA denial responses and correlates this data with device fingerprints, conditional access status, and geographical locations. If a user repeatedly denies or ignores MFA requests, it raises an alert for further investigation. Alert records: - User Principal Name and User ID - Location - IP Address - Conditional Access Status - Correlation ID Monitoring for potential MFA bombing attempts is crucial because such activities can indicate that an attacker is attempting to gain unauthorized access to user accounts. By detecting and investigating repeated MFA denials, security teams can identify compromised accounts and take necessary actions to prevent unauthorized access. This proactive approach helps in mitigating risks associated with credential theft and enhances the overall security posture of the organization.",Medium,PT1H,PT1H,function (AzureAD_SignInLogs_functions).,aad2fee9-hk47-1102-2023-b2af23mk1088,Custom,Approved,AAD,
AADR-029 - Successful Sign-ins from IPs with Failed Attempts on Disabled Accounts,"The rule detects potentially suspicious IP addresses that successfully sign in to accounts after attempting to access disabled accounts, a behavior indicative of possible malicious activity targeting disabled users. It leverages Microsoft Entra ID (AAD) Sign-In and AAD Non-Interactive Sign-In logs to analyze sign-in patterns. The rule specifically monitors IP addresses that attempt logins to disabled accounts (error code 50057) and then achieve successful sign-ins to other accounts, excluding those IPs from a predefined watchlist of known safe IPs. Key detection steps: - Identify IP addresses that repeatedly attempt sign-ins to disabled accounts. - Filter successful sign-ins from these IP addresses, counting unique users and applications accessed. - Enrich results with behavioral analytics insights to reduce false positives by assessing related user and device activity and assigning an investigation priority score. - Calculate the Success-Fail Ratio (SFRatio) to prioritize IP addresses where attempts to access disabled accounts comprise at least 50% of logins, signaling potentially risky IP behavior. Alert records: - IP Address and Location - Total attempts to disabled accounts - Number of unique disabled accounts targeted - Set of successfully accessed accounts and applications By identifying IPs with high SFRatio and correlating this with device and user insights, the rule highlights accounts or IP addresses potentially associated with unauthorized access attempts, allowing security teams to investigate and respond to these suspicious activities effectively. This approach enhances proactive defense against account compromise and unauthorized access attempts targeting disabled accounts.",Low,P1D,P1D,NO.,aad95fb4-bd01-0711-2024-3dd7e6mk1088,Custom,Approved,AAD,
AADR-030 - Suspicious application consent similar to O365 Attack Toolkit,"This will alert when a user consents to provide a previously-unknown Azure application with the same OAuth permissions used by the MDSec O365 Attack Toolkit (https://github.com/mdsecactivebreach/o365-attack-toolkit). The default permissions/scope for the MDSec O365 Attack toolkit change sometimes but often include contacts.read, user.read, mail.read, notes.read.all, mailboxsettings.readwrite, files.readwrite.all, mail.send, files.read, and files.read.all. Consent to applications with these permissions should be rare, especially as the knownApplications list is expanded, especially as the knownApplications list is expanded. For further information on AuditLogs please see https://docs.microsoft.com/azure/active-directory/reports-monitoring/reference-audit-activities.",High,P1D,P14D,NO.,37ed0fcb-c8d8-44c8-8725-ad2675a9d03e,Out of Box,Approved,AAD,
AADR-031 - Suspicious application consent similar to PwnAuth,"This will alert when a user consents to provide a previously-unknown Azure application with the same OAuth permissions used by the FireEye PwnAuth toolkit (https://github.com/fireeye/PwnAuth). The default permissions/scope for the PwnAuth toolkit are user.read, offline_access, mail.readwrite, mail.send, and files.read.all. Consent to applications with these permissions should be rare, especially as the knownApplications list is expanded. For further information on AuditLogs please see https://docs.microsoft.com/azure/active-directory/reports-monitoring/reference-audit-activities.",Medium,P1D,P14D,NO.,8e6f0ff4-eef8-4e1f-b4dc-b239747ab732,Out of Box,Approved,AAD,
AADR-032 - Suspicious Service Principal creation activity,"This alert will detect creation of an SPN, permissions granted, credentials created, activity and deletion of the SPN in a time frame (default 10 minutes)",Low,PT1H,PT1H10M,NO.,aad95e58-mse6-2022-98a9-e663f7mk1088,Out of Box,Approved,AAD,
AADR-033 - Suspicious Sign-in activity of MS Entra ID Identity,"The rule evaluates audit events from the SigninLogs table in Microsoft Entra ID to identify suspicious sign-in activities. The rule analyzes a combination of behavior patterns related to successful user logins, including: - Four or fewer active login days from a given location during the selected time window. - Sign-ins from a country that is not the user’s most frequently logged-in country. - Changes in device fingerprints between consecutive logins. - High-speed travel between login locations, exceeding a threshold of 300 km/h (configurable). - Logins from IP addresses that are not listed in a watchlist of known IPs or subnets. These patterns align with potential adversarial techniques described in the MITRE ATT&CK framework, specifically within the Credential Access tactic. The relevant technique is T1078 - Valid Accounts, where attackers leverage stolen or misused credentials to gain unauthorized access to systems or services. By identifying deviations in login behavior, geographic anomalies, and device inconsistencies, this rule aims to detect early signs of account compromise or misuse, which could lead to data breaches or lateral movement within the environment. Alert records: - A user logs in from a location or country that deviates from their typical behavior. - The login originates from an IP address not included in the organization's allowlist or known subnets. - The device used for login is non-compliant or exhibits changes in its fingerprint. - The login involves unrealistic travel speeds between consecutive locations. Monitoring such events is critical for detecting and mitigating risks associated with account compromise and unauthorized access, as these behaviors often indicate malicious activity targeting valid user accounts.",Medium,PT1H,P14D,watchlist (Known_IPs_and_Subnets).,aad1a6ac-r0gr-1009-2023-5e1540mk1088,Custom,Approved,AAD,
AADR-034 - User added to Azure AD Privileged Groups outside of PIM,This will alert when a user is added to any of the Privileged Groups outside of PIM. For further information on AuditLogs please see https://docs.microsoft.com/azure/active-directory/reports-monitoring/reference-audit-activities. For Administrator role permissions in Azure Active Directory please see https://docs.microsoft.com/azure/active-directory/users-groups-roles/directory-assign-admin-roles,High,NRT,NRT,NO.,aad13a7d-34e1-2022-8320-1a9bd0mk1088,Custom,Approved,AAD,
AADR-035 - User State changed from Guest to Member,Detects when a guest account in a tenant is converted to a member of the tenant. Monitoring guest accounts and the access they are provided is important to detect potential account abuse. Accounts converted to members should be investigated to ensure the activity was legitimate. Ref: https://docs.microsoft.com/azure/active-directory/fundamentals/security-operations-user-accounts#monitoring-for-failed-unusual-sign-ins,Medium,P1D,P1D,NO.,c45a935d-a215-487d-944f-7f5a8e2c17ea,Out of Box,Approved,AAD,
AADR-036 - Owner Added to Microsoft Entra ID Application,"The rule evaluates Microsoft Entra ID audit logs and detects when a Owner of an Application is added. An owner of an application in Microsoft Entra ID manages app-specific settings like single sign-on, provisioning, and user assignments. Owners can also add or remove other owners but only for applications they own. An attacker can exploit the assignment of an application owner in Entra ID by impersonating the owner to gain access to sensitive data, change permissions, or misuse access rights to obtain protected information or perform malicious operations. The alert records relevant and available details for analysis: - Date and Time - Application name, Object ID, AppId - Target owner info - Initiator, Initiator ID, and Initiator IP Address - Result, etc. The rule allows us to promptly detect, analyze, investigate, and respond to unauthorized changes, helping to prevent unauthorized access and potential security breaches. Monitoring the assignment of an application owner in Entra ID is crucial for security, access management, auditing, and process optimization. It helps identify unauthorized changes, manage permissions, provide audit evidence, and improve the efficiency of application management.",Medium,PT30M,PT30M,NO.,aad10abv-c3p0-1610-2024-apps07mk1088,Custom,Approved,AAD,
AADR-037 - New Domain Added to Microsoft Entra Tenant,"This rule evaluates audit events from the AuditLogs table in Microsoft Entra ID to identify instances where a new domain is added to the tenant. The detection includes both verified and unverified domains. Attackers or unauthorized insiders may add malicious or unauthorized domains to the tenant in an attempt to perform phishing attacks, bypass email security mechanisms, or set up deceptive environments for lateral movement and data exfiltration. Monitoring such events aligns with the MITRE ATT&CK framework, helping organizations mitigate risks associated with domain-based attacks. Alert Records: - Time: Timestamp of when the domain was added. - Domain Added: The name of the newly added domain. - Initiator: The identity of the user or service principal that performed the action, including their ID. - IP Address and Location: The IP address and geolocation of the initiator. Monitoring domain additions is essential for maintaining control over your tenant and identifying unauthorized configuration changes that could lead to security breaches.",Medium,PT30M,PT30M,NO.,aad5e80d-c3p0-1501-2024-677650mk1088,Custom,Approved,AAD,
AADR-038 - Activity on AAD Object made by Logic App Identity,"The rule evaluates audit events from the Microsoft Entra ID (Azure AD) AuditLogs table to detect activities performed on Azure AD objects by specific identities associated with Logic Apps or automated processes. Such identities (e.g., Azure Logic Apps - Azure AD or specified account UPN) are typically used by Microsoft Sentinel playbooks for automation purposes and should only perform actions within well-defined scopes. This rule detects the following scenarios: - The identity is used by an attacker, indicating potential misuse or compromise. - The identity is used by its designated Logic App, performing an expected operation. - The identity is used by an unauthorized Logic App, suggesting possible misconfiguration or improper usage. Alert Records: - Time: When the activity occurred. - Initiator: The identity responsible for the activity, including user principal name, ID, and IP address. - Target Object: Details of the target object, including its name, ID, and type. - Location: The geographic location derived from the initiator's IP address. - Operation: The type of activity performed on the Azure AD object. Monitoring these activities is critical to ensuring that automation accounts operate within their intended limits, minimizing risks of privilege escalation, misconfiguration, or unauthorized access.",Medium,PT15M,PT15M,Playbook - SOC_PB_Block_User_in_EntraID_due_High_Score.,aad163bc-r2d2-2701-2025-a90aa0mk1088,Custom,No,AAD,
AADR-039 - Policy Configuration Changes in Microsoft Entra ID,"This rule evaluates audit events from the AuditLogs table in Microsoft Entra ID to identify successful non-Conditional Access policy configuration changes in the Policy category. The rule monitors Update policy operations on Microsoft Entra ID policy objects and excludes Conditional Access policy changes that are covered by the dedicated Conditional Access monitoring rule. It also suppresses generic audit metadata rows and known Microsoft password reset service SPN metadata updates that do not represent actionable policy configuration changes. Alert records: - Time when the policy was updated. - Policy name and policy ID. - Modified property name. - Previous and new values for the updated property. - Initiator that performed the change, including initiator type and ID. - Source IP address, when available. - Correlation ID and original audit context. Changes to identity-related policies may indicate administrative activity, misconfiguration, or unauthorized modification of tenant security controls. Monitoring these changes helps maintain policy governance and supports investigation of unexpected configuration drift outside Conditional Access policy management.",Medium,PT1H,PT1H,NO.,aad164bc-r2d2-2504-2025-a88aa0mk1088,Custom,Approved,AAD,
AADR-040 - Credential Abuse Blocked by Conditional Access,"The rule evaluates audit events from the SigninLogs table in Microsoft Entra ID to identify potential credential abuse attempts that were blocked by Conditional Access (CA) policies. The rule focuses on successful credential submissions that were ultimately denied access due to Conditional Access enforcement (ResultType 53003). Such events indicate that the credentials were technically valid but failed risk-based evaluation – a common symptom of credential theft or abuse. To reduce noise, the rule filters out trusted IP addresses based on a watchlist and non-critical devices (e.g., compliant corporate assets). Alert Records: - Time: Timestamp of the blocked sign-in attempt. - User: UserPrincipalName and UserId used during the attempt. - IP Address and Location: Source of the login, including city and country. - Application: The application being accessed during the sign-in attempt. - Device: Device OS, compliance status, management status, and trust type. - Failed Policies: Conditional Access policy names that blocked the sign-in. - Privilege: Whether the user has elevated roles assigned. Monitoring these activities supports early detection of account compromise and strengthens the organization’s identity protection strategy.",Low,PT1H,PT1H,watchlist (Known_IPs_and_Subnets).,aad040bc-r2d2-1405-2025-a99aa0mk1088,Custom,Approved,AAD,
AADR-041 - Privilege Elevation to User Access Administrator in Entra ID,"The rule detects the elevation of access permissions to the ""User Access Administrator"" role at the Microsoft Entra ID tenant level. The ""Elevate Access"" operation grants significant privileges allowing broad access management across all Azure resources within the tenant. Such an action is typically performed only in exceptional circumstances and should be closely monitored, as unauthorized or malicious usage could lead to privilege escalation, unauthorized access, or compromise of Azure resources. Monitoring these elevations is essential to promptly detect and investigate potential security incidents involving misuse of administrative privileges. Alert Records: -Time: Timestamp of the privilege elevation - Initiator: User principal name or application that initiated the operation - IP Address: Source IP address of the operation - Location: Geographical location determined by the IP address Investigate promptly any elevation to User Access Administrator, ensuring it aligns with authorized administrative tasks.",High,PT15M,PT15M,NO.,aad041bc-c3p0-0408-2025-a59aa0mk1088,Custom,Approved,AAD,
AADR-042 - Pass-the-Cookie Attack in Microsoft 365,"The rule evaluates audit events from the AADNonInteractiveUserSignInLogs table to identify potential Pass-the-Cookie activity. The rule focuses on sign-ins via browser-based, non-interactive sessions using the same session ID across significantly different locations and IP addresses. Such activity is commonly associated with session hijacking techniques, where an attacker reuses a legitimate session token (cookie) to authenticate without needing the user's password or MFA. This rule specifically detects rapid changes in geographic location during a single session, using high travel speed (e.g., > 120 km/h), sign-in from unknown or rare IP addresses, and access from previously unseen locations. Alert Records: - Time: Current and previous sign-in timestamps. - Session: Shared session ID across distinct locations. - Location: Current and previous IP address and location information. - Distance & Speed: Calculated travel distance and speed between sign-ins. - User & Application: Affected user, accessed application, and client app used. - Device: Current and previous device name, compliance, and managed state. Detecting session reuse across geographically distant locations helps identify advanced attacks bypassing authentication controls. These attacks are difficult to detect using traditional login anomaly rules and require behavioral correlation across session data.",Medium,PT1H,P14D,watchlist (Known_IPs_and_Subnets).,aad042bc-r2d2-0711-2025-a60bb0mk1088,Custom,Approved,AAD,
AADR-043 - Legacy Authentication Bypassing MFA and Conditional Access,"This rule evaluates audit events from the AADNonInteractiveUserSignInLogs table in Microsoft Entra ID to identify successful non-interactive sign-ins performed via legacy authentication protocols. The rule looks for successful authentications where the client application matches common legacy protocols (for example IMAP4, POP3, SMTP, Exchange ActiveSync, Exchange Web Services, and Exchange Online PowerShell). It then aggregates activity per user and application over the last hour and triggers when the number of successful non-interactive sign-ins exceeds a defined threshold (more than 3). Attackers who obtain valid credentials may intentionally use legacy authentication because these protocols are often less capable of enforcing modern controls and may be used to bypass protections such as MFA enforcement and Conditional Access requirements. This can enable unauthorized access to services (commonly email-related workloads) while reducing visibility and friction compared to interactive sign-ins. Alert records: - Time: FirstSeen, LastSeen (time range of the aggregated activity). - User: UserPrincipalName, UserId. - Application: AppDisplayName. - Activity: SignInCount (number of successful non-interactive sign-ins). - Network: IPAddress (representative IP), plus aggregated IPs and Countries. - Protocol: Protocols. We monitor this activity because legacy authentication remains a frequent avenue for account misuse and automation, especially for mailbox access. Elevated volumes of successful non-interactive sign-ins using legacy protocols can indicate credential compromise, insecure client configurations, or unauthorized access paths that should be reduced or blocked to improve identity security posture.",Medium,PT1H,PT1H,req AADNonInteractiveUserSignInLogs.,aad043bc-r2d2-2502-2026-a60bb0mk1088,Custom,Approved,AAD,
AADR-044 - Stale Membership in Temporary Entra ID Groups,"This rule evaluates audit events from the AuditLogs table in Microsoft Entra ID to identify cases where a member was added to a temporary Entra ID group but was not removed within the expected time window. The rule monitors successful Add member to group operations for groups classified as temporary (defined via a watchlist) and correlates them with corresponding Remove member from group events. If no removal action is observed after the membership addition, or if the removal occurred before the addition event, the membership is considered stale. Such conditions may result from operational oversight, misconfigured automation, or failures in access governance processes. In more severe scenarios, an attacker or insider with sufficient permissions could intentionally retain group membership to maintain access beyond the approved duration. This activity aligns with the MITRE ATT&CK framework, as maintaining unintended group membership can be used to achieve persistence or privilege escalation by manipulating account permissions. Alert records: - Time: When the group membership was added. - Group: Name and object ID of the temporary Entra ID group. - Target: The user or service principal added to the group. - Initiator: The user or application that performed the membership change. - IP address: Source IP address associated with the add operation. - Correlation ID: Identifier used to correlate related audit events. Monitoring this activity is critical because temporary Entra ID groups are commonly used to grant time-bound or elevated access. Failure to revoke such access increases the risk of unauthorized privilege retention, policy violations, and prolonged exposure of sensitive resources.",Low,P1D,P14D,watchlist (EntraId_TemporaryGroups).,entra400-r2d2-0902-2026-000239mk1088,Custom,Approved,AAD,
AADR-045 - Password Spray Attack via Non-Interactive Sign-Ins,"This rule evaluates audit events from the AADNonInteractiveUserSignInLogs table in Microsoft Entra ID to detect password spray attacks performed through non-interactive authentication attempts. The rule identifies scenarios where a single IP address generates failed sign-in attempts against multiple user accounts within a defined time window using common authentication error codes (e.g., 50034, 50053, 50126), and triggers when the number of targeted accounts exceeds a defined threshold (e.g., more than 10 users or at least 10% of organization members). Password spraying is a credential access technique in which an attacker attempts a small number of commonly used passwords across many accounts to avoid lockouts and evade detection; non-interactive sign-ins are particularly attractive because they may leverage legacy protocols or background authentication flows that are less visible to end users and traditional monitoring controls. Alert records: - Time window: FirstSeen and LastSeen of the activity - Source: IP address and geographic location - Targeted accounts: Number of unique users (TargetCount) - Failure details: Total failed attempts (FailCount) and associated result codes - User agents observed during the activity Monitoring this activity aligns with the MITRE ATT&CK technique T1110.003 – Password Spraying and is critical for detecting credential access attempts that may lead to account compromise.",Medium,PT1H,P14D,req AADNonInteractiveUserSignInLogs.,entra045-c3p0-2602-2026-5pray9mk1088,Custom,Approved,AAD,
AADR-046 - Legacy ROPC Authentication Observed,"This rule identifies the use of the Resource Owner Password Credentials (ROPC) OAuth flow in non-interactive sign-ins to Microsoft Entra ID. ROPC is a legacy authentication mechanism in which an application submits the user's username and password directly to the authorization endpoint in order to obtain an access token. This model is considered less secure than modern interactive authentication flows because it requires handling user credentials within the application. ROPC usage may indicate: - A legacy application or integration relying on password-based authentication - An automation script using stored user credentials - Programmatic authentication performed with a user account The presence of this authentication flow should be periodically reviewed and restricted to approved and documented use cases only. Alert records: - Time: When the ROPC sign-in occurred - User: UserPrincipalName and UserId - Application: AppDisplayName - Source: IP address and resolved location - Result: ResultType (successful sign-in) Monitoring this activity is important because ROPC usage can indicate legacy integrations, automation using stored credentials, or potential credential misuse. ROPC should be restricted to approved and documented use cases and reviewed regularly.",Low,PT1H,PT1H,req AADNonInteractiveUserSignInLogs. watchlist (ROPC_Authentication_Exceptions).,entra046-c3p0-2602-2026-r0p0y9mk1088,Custom,Approved,AAD,
AADR-047 - Refresh Token Replay from New Locations,"This rule analyzes audit events from the AADNonInteractiveUserSignInLogs table in Microsoft Entra ID to identify high-frequency successful non-interactive authentication activity within a single session (SessionId) observed from multiple countries within the configured time window. The detection identifies scenarios where the same session context is associated with more than one geographic country, which may indicate refresh token replay, session reuse across locations, or unauthorized use of authentication artifacts. To reduce false positives, the detection excludes trusted network locations, known corporate IP ranges, and Microsoft applications that are known to generate high-volume background authentication traffic. Alert records include: - Time window: FirstSeen and LastSeen of the activity - UserPrincipalName and UserId - AppDisplayName - SessionId - Volume of RefreshCount (successful non-interactive authentications) - Countries observed within the session - Source addresses Reuse of the same session across multiple countries within a short period is atypical in standard user behavior and may represent token replay or unauthorized reuse of authentication artifacts, potentially leading to account compromise and unauthorized access to cloud resources.",Medium,PT1H,PT1H,req AADNonInteractiveUserSignInLogs. watchlist (Known_IPs_and_Subnets).,entra047-c3p0-2702-2026-r3pla7mk1088,Custom,Approved,AAD,
AZUR-001 - Azure Diagnostic Settings Deleted From Resource,"The rule evaluates for diagnostic settings that are removed from a resource. This could indicate an attacker or malicious internal trying to evade detection before malicious acts are performed. If the diagnostic settings are being deleted as part of a parent resource deletion, the event is ignored. The resource deleting is monitored by detection rule Cloud resource deletions by User.",Low,PT1H,PT1H,Watchlist (SubscriptionList) logs AADServicePrincipalSignInLogs.,az2590e3-r2d2-0708-2023-c5f990mk1088,Custom,Approved,AZUR,
AZUR-002 - Azure Resource Role Assignment,"The rule evaluates events from the AzureActivity and AuditLogs tables to detect the assignment of Azure resource roles, including both standard Identity and Access Management (IAM) operations and Privileged Identity Management (PIM) role activations. Attackers or unauthorized administrators may assign elevated roles to bypass access controls, establish persistence, or access sensitive resources. This rule supports the principle of least privilege and ensures proper visibility into privileged access management. Alert Records: - Time: When the role assignment took place. - Target: Type, name, and ID of the identity receiving the role. - Role Details: Name, ID, severity classification, and source (Azure or Entra ID). - Scope: Scope type and resource associated with the assignment (e.g., Subscription, Resource Group). - Caller: User or application assigning the role, along with their IP address. - Location: Geographic origin of the caller's IP address. - Activity Type: Indicates whether the role was assigned via IAM or PIM and the nature of the operation. Monitoring privileged role assignments across Azure resources is essential for detecting unauthorized privilege elevation, ensuring role governance, and reducing the attack surface for identity-based threats.",High,PT15M,PT2H,Watchlist (Azure-Role).,az2e0eb5-sp03-2022-bb88-90b509mk1088,Custom,Approved,AZUR,
AZUR-003 - Azure Virtual Network Perring Configuration Activity,"The Azure Virtual Network Peering Configuration Activity detection rule is designed to monitor and alert on any successful ‘Write’ operations performed on Azure Virtual Network Peering. These operations could potentially indicate changes in the network infrastructure, which might have implications for security, performance, or functionality. Virtual Network Peering can serve as a router and open a pathway to your environment even from another tenant (Cross-tenant peering). Configurations of VNet peering appear very rarely and should always be supported by an appropriate change request. The alert records include the following details: - Time: The timestamp of the activity. - Resource Details: Information about the resource, including type, name, id, resource group, and subscription id. - Caller Details: Information about the caller, including type, name, id, IP address, and role. - Properties, Authorization, Claims: Additional details about the operation. - Location Details: Geographical information related to the operation. - Correlation Id: A unique identifier for the operation. Monitoring such activities can help in maintaining the security and integrity of the network infrastructure.",Low,PT1H,PT1H,NO.,az14b29a-r2d2-2003-2024-2a90e5mk1088,Custom,Approved,AZUR,
AZUR-004 - Azure VM Run Command linked with MDE,Identifies any Azure VM Run Command operations and links these operations with MDE host logging. Linking these two data sources provides hunting opportunities. Logging from AzureActivity provides the IP address and UPN of the account that invoked the command. Joining this with logging from MDE provides insights into what cmdlets were loaded by the command.,Medium,PT1H,PT1H,Request MDE logs.,55fbc363-6cc9-4201-bd68-d980b612082b,Out of Box,Maybe,AZUR,
AZUR-005 - Azure VM Run Command operation executed during suspicious login window,Identifies when the Azure Run Command operation is executed by a UserPrincipalName and IP Address that has resulted in a recent user entity behaviour alert.,High,P1D,P2D,Request UEBA logs.,az3650dd-ig10-2022-9195-fa5704mk1088,Out of Box,Approved,AZUR,
AZUR-006 - Azure VM Run Command operations executing a unique PowerShell script,"This rule evaluates AzureActivity logs to detect the use of Azure Run Command for executing PowerShell scripts on virtual machines. It correlates these logs with DeviceFileEvents and DeviceEvents to track the creation and execution of PowerShell scripts. The uniqueness of the PowerShell script is determined by hashing the cmdlets called within the script and its file size. Attackers or insiders may use Azure Run Command to execute unauthorized or malicious PowerShell scripts on virtual machines. Detecting unique or rare scripts can help identify unusual activity that deviates from typical administrative behavior, potentially indicating attempts to establish persistence, escalate privileges, or compromise resources. Rule Name Suggestions: Unique PowerShell Script Executed via Azure VM Run Command Uncommon PowerShell Run Command Execution on Virtual Machine Azure VM Run Command - Unique PowerShell Script Execution Rare PowerShell Execution via Azure Run Command Unique PowerShell Run Detected on Azure Virtual Machine Rule Description: This rule evaluates AzureActivity logs to detect the use of Azure Run Command for executing PowerShell scripts on virtual machines. It correlates these logs with DeviceFileEvents and DeviceEvents to track the creation and execution of PowerShell scripts. The uniqueness of the PowerShell script is determined by hashing the cmdlets called within the script and its file size. Attackers or insiders may use Azure Run Command to execute unauthorized or malicious PowerShell scripts on virtual machines. Detecting unique or rare scripts can help identify unusual activity that deviates from typical administrative behavior, potentially indicating attempts to establish persistence, escalate privileges, or compromise resources. Alert Records: - Start Time: The start time of the Azure Run Command activity. - End Time: The end time of the Azure Run Command activity. - PowerShell File Name: The name of the PowerShell script executed. - Virtual Machine: The name of the affected virtual machine. - Caller: The user or process responsible for executing the PowerShell script. - Caller IP Address: The IP address from which the Run Command was executed. - PowerShell Script Commands: The cmdlets called within the PowerShell script. - PowerShell File Size: The size of the PowerShell script file. - Prevalence: A percentage indicating how often this script has been observed in the environment. Monitoring unique PowerShell scripts executed via Azure Run Command is essential for detecting potential threats, ensuring accountability, and identifying deviations from normal operational activity.",Medium,P1D,P1D,NO.,az1ef078-mse6-2022-a58a-c1e6f5mk1088,Out of Box,Approved,AZUR,
AZUR-007 - BYOK Enabled on Storage Account or Disk,"The rule is designed to monitor and alert on activities related to the enablement of Bring Your Own Key (BYOK) on Azure Storage or VM Disk. BYOK is a feature that allows you to control and manage the key used for disk encryption. While this is a legitimate operation, it can pose a potential security risk if it's not part of your organization's policy or if it's performed by an unauthorized user. When the rule detects any of the mentioned activities, it generates one of the following alerts: - BYOK Enabled on Azure Storage Account - BYOK Enabled on Azure Disk The alert records include the following details: - Time: The timestamp of the activity. - Resource Details: Information about the resource, including type, name, id, resource group, and subscription id. - Caller Details: Information about the caller, including type, name, id, IP address, and role. - BYOK Properties: Specific properties related to the BYOK operation. - Properties, Authorization, Claims: Additional details about the operation. - Location Details: Geographical information related to the operation. - Encryption Details: Information about the encryption, including type, key source, key name, disk encryption set id, and user-assigned identity. - Correlation Id: A unique identifier for the operation. These alerts are designed to provide comprehensive visibility into BYOK-related activities in your Azure environment, helping you maintain security and compliance. If you receive such an alert, it's important to verify whether the activity was expected and authorized. If not, it may indicate a potential security issue that needs to be addressed. Always follow your organization's policy and procedures when responding to such alerts.",Medium,PT1H,PT1H,NO.,az1cc27d-c3p0-2003-2024-20c491mk1088,Custom,Approved,AZUR,
AZUR-008 - Cloud resource deletions by User,The rule detects cloud resource deletions by an individual user. These deletions from unusual or privileged users could be an indication of a cloud infrastructure takedown by an adversary. Resources for Microsoft Sentinel are monitored under a different rule and are not included in this rule.,Low/Medium/High,P1D,P1D,NO.,azure164-ig11-1306-2023-558722mk1088,Custom,Approved,AZUR,
AZUR-009 - Creation of expensive VMs in Azure Cloud,"The rule evaluates audit records at the Subscription level and detects the creation of large-size virtual machines (with GPU or a significant number of virtual CPUs) in Azure, i.e., very expensive VMs. The initiator may create new or update existing virtual machine sizes to circumvent defenses or use them for cryptocurrency mining purposes. The link below provides a preview of prices for individual VM sizes in various regions. https://azure.microsoft.com/en-us/pricing/details/virtual-machines/windows/",Low,PT1H,PT1H,NO.,azvm5888-r2d2-1502-2024-3c2e50mk1088,Custom,Approved,AZUR,
AZUR-010 - Azure Role Definition Change Activity,"The rule evaluates audit events from the AzureActivity table to detect changes to Azure role definitions. It monitors successful operations such as roleDefinitions/write and roleDefinitions/delete, identifying role creation, updates, and deletions performed within Azure subscriptions. Unauthorized modifications to role definitions may introduce misconfigured permissions, weaken access control, or allow for privilege escalation. Monitoring these changes is essential to protect sensitive resources and ensure that role management aligns with organizational policies and least-privilege principles. Alert Records: - Time: When the role definition activity was successfully performed. - Operation: Activity type (Created, Updated, Deleted). - Role Details: Role name, ID, description, permissions, and assignable scope. - Caller: Principal identity, type, and role of the initiator. - Location: IP address and geolocation (country and city) from which the activity originated. - Subscription and Resource Context: Azure resource ID, subscription ID, and resource group involved. Monitoring Azure role definition changes is critical for detecting configuration drift, unauthorized privilege changes, and ensuring adherence to governance standards.",Medium,PT30M,PT30M,Watchlist (Azure-Role).,az30d66f-c3p0-2811-2022-3fe432mk1088,Custom,Approved,AZUR,
AZUR-011 - Detection of LA Workspace Deletion and Data Purge,"The rule evaluates audit logs at the Subscription level associated with the Log Analytics Workspace. The rule detects Data Purge activities or attempts to delete workspaces within the Log Analytics environment. Workspace deletion alerts help identify potential malicious actions, where attackers may seek to disrupt services by deleting workspaces after compromise or selectively deleting specific data from LA. These operations require critical permissions and are very rare. It is important to note that data purges are not immediate operations and can take hours to days, necessitating a prompt examination of the affected data and consideration of creating backups if the action is deemed unauthorized. The alert records details about the Caller and the used IP address, Log Analytics Workspace Name, and the entire scope (resource), including the table in LA where data deletion is occurring. This dual-focused rule enhances overall security by addressing various threats to the Log Analytics workspace.",High,NRT,NRT,NO.,aa171908-r2d2-2022-a979-bdaa70mk1088,Custom,Approved,AZUR,
AZUR-012 - Detection of previously unseen Azure Subscription,"The rule detects events from a previously unseen Azure Subscription. This event may indicate the creation of a new Subscription or starting to collect audit events from a subscription to Log Analytics. Enter the SubscriptionID and Subscription Name into the watchlist ""SubscriptionList"" for subsequent correlation options.",Informational,P1D,P1D,Watchlist (SubscriptionList).,az02babe-c3p0-2012-2022-8bea49mk1088,Custom,No,AZUR,
